iter	Passed	Remaining
0	57	56956
1	57	28665
2	57	19209
3	58	14475
4	58	11629
5	58	9735
6	59	8383
7	59	7366
8	59	6586
9	60	5958
10	60	5441
11	60	5016
12	61	4651
13	61	4339
14	61	4067
15	62	3829
16	62	3620
17	62	3433
18	63	3266
19	63	3123
20	64	2987
21	64	2862
22	64	2746
23	64	2641
24	65	2546
25	65	2457
26	65	2375
27	66	2299
28	66	2230
29	66	2163
30	67	2099
31	67	2040
32	67	1988
33	68	1938
34	68	1890
35	68	1844
36	69	1801
37	69	1759
38	69	1719
39	70	1683
40	70	1649
41	70	1618
42	71	1586
43	71	1555
44	71	1525
45	72	1498
46	72	1471
47	72	1445
48	73	1419
49	73	1395
50	73	1372
51	74	1350
52	74	1328
53	74	1308
54	74	1288
55	75	1269
56	75	1250
57	75	1232
58	76	1215
59	76	1199
60	76	1183
61	77	1167
62	77	1152
63	77	1137
64	78	1123
65	78	1108
66	78	1095
67	78	1082
68	79	1069
69	79	1056
70	79	1043
71	80	1031
72	80	1020
73	80	1008
74	80	997
75	81	986
76	81	975
77	81	965
78	81	955
79	82	945
80	82	936
81	82	927
82	82	916
83	83	907
84	83	898
85	83	890
86	84	882
87	84	874
88	84	866
89	85	859
90	85	852
91	85	845
92	85	838
93	86	831
94	86	824
95	86	818
96	87	812
97	87	805
98	87	799
99	88	793
100	88	787
101	88	781
102	88	775
103	89	769
104	89	763
105	89	757
106	90	752
107	90	747
108	90	742
109	91	736
110	91	731
111	91	726
112	91	721
113	92	716
114	92	711
115	92	706
116	92	701
117	93	697
118	93	692
119	93	689
120	94	684
121	94	679
122	94	676
123	95	672
124	95	668
125	95	664
126	95	659
127	96	656
128	96	652
129	97	649
130	97	645
131	97	641
132	97	638
133	98	634
134	98	630
135	98	627
136	99	624
137	99	620
138	99	618
139	100	614
140	100	611
141	100	607
142	100	604
143	101	601
144	101	597
145	101	594
146	101	591
147	102	588
148	102	585
149	102	581
150	102	578
151	103	576
152	103	573
153	103	570
154	104	567
155	104	565
156	104	562
157	105	560
158	105	557
159	105	554
160	105	551
161	106	548
162	106	546
163	106	543
164	106	541
165	107	539
166	107	536
167	107	534
168	108	532
169	108	529
170	108	527
171	109	525
172	109	523
173	109	520
174	110	518
175	110	516
176	110	514
177	110	512
178	111	510
179	111	508
180	111	506
181	112	504
182	112	502
183	112	500
184	113	498
185	113	496
186	113	494
187	114	492
188	114	491
189	114	489
190	115	487
191	115	485
192	115	483
193	115	481
194	116	479
195	116	477
196	116	475
197	116	473
198	117	472
199	117	470
200	117	468
201	118	467
202	118	465
203	118	463
204	119	461
205	119	459
206	119	458
207	119	456
208	120	454
209	120	452
210	120	451
211	120	449
212	121	447
213	121	446
214	121	444
215	122	442
216	122	441
217	122	439
218	122	438
219	123	436
220	123	435
221	123	433
222	124	432
223	124	431
224	124	429
225	125	428
226	125	427
227	125	425
228	126	424
229	126	423
230	126	421
231	126	420
232	127	419
233	127	417
234	128	416
235	128	415
236	128	413
237	128	412
238	129	411
239	129	410
240	129	408
241	130	407
242	130	406
243	130	405
244	131	403
245	131	402
246	131	401
247	131	400
248	132	399
249	132	397
250	132	396
251	133	395
252	133	394
253	133	392
254	134	391
255	134	390
256	134	389
257	134	387
258	135	387
259	135	386
260	136	385
261	136	384
262	136	383
263	137	382
264	137	380
265	137	379
266	137	378
267	138	377
268	138	376
269	138	375
270	139	374
271	139	373
272	139	372
273	140	371
274	140	370
275	140	369
276	141	368
277	141	366
278	141	365
279	141	364
280	142	365
281	143	364
282	143	363
283	144	363
284	144	362
285	144	361
286	145	360
287	145	359
288	145	358
289	146	357
290	146	356
291	146	356
292	147	355
293	147	354
294	147	353
295	148	352
296	148	350
297	148	349
298	148	348
299	149	348
300	149	347
301	149	346
302	150	345
303	150	344
304	150	343
305	151	342
306	151	341
307	151	340
308	152	339
309	152	338
310	152	338
311	152	337
312	153	336
313	153	335
314	153	334
315	154	333
316	154	332
317	154	331
318	155	330
319	155	330
320	155	329
321	155	328
322	156	327
323	156	326
324	156	325
325	157	324
326	157	323
327	157	323
328	157	322
329	158	321
330	158	320
331	158	319
332	159	318
333	159	318
334	159	317
335	160	316
336	160	315
337	160	314
338	161	313
339	161	313
340	161	312
341	161	311
342	162	310
343	162	309
344	162	309
345	163	308
346	163	307
347	163	306
348	163	305
349	164	304
350	164	304
351	164	303
352	165	302
353	165	301
354	165	301
355	165	300
356	166	299
357	166	298
358	166	297
359	167	297
360	167	296
361	167	295
362	167	294
363	168	293
364	168	293
365	168	292
366	169	291
367	169	290
368	169	290
369	170	289
370	170	288
371	170	288
372	170	287
373	171	286
374	171	286
375	172	285
376	172	284
377	172	284
378	172	283
379	173	282
380	173	282
381	173	281
382	174	280
383	174	280
384	174	279
385	175	278
386	175	277
387	175	276
388	175	276
389	176	275
390	176	274
391	176	274
392	177	273
393	177	272
394	177	272
395	177	271
396	178	270
397	178	269
398	178	269
399	179	268
400	179	268
401	179	267
402	180	266
403	180	266
404	180	265
405	180	264
406	181	264
407	181	263
408	181	262
409	182	262
410	182	261
411	182	260
412	182	260
413	183	259
414	183	258
415	183	257
416	184	257
417	184	256
418	184	256
419	185	255
420	185	255
421	185	254
422	186	253
423	186	253
424	186	252
425	186	251
426	187	251
427	187	250
428	187	249
429	187	249
430	188	248
431	188	247
432	188	247
433	189	246
434	189	246
435	189	245
436	190	244
437	190	244
438	190	243
439	190	242
440	191	242
441	191	241
442	191	241
443	192	240
444	192	240
445	192	239
446	193	238
447	193	238
448	193	237
449	194	237
450	194	236
451	195	236
452	195	235
453	195	235
454	195	234
455	196	234
456	196	233
457	196	232
458	197	232
459	197	232
460	198	231
461	198	231
462	199	231
463	199	230
464	199	230
465	200	229
466	200	228
467	200	228
468	201	227
469	201	226
470	201	226
471	201	225
472	201	225
473	202	224
474	202	223
475	203	223
476	203	223
477	203	222
478	204	221
479	204	221
480	204	220
481	205	220
482	205	219
483	205	219
484	205	218
485	206	217
486	206	217
487	206	216
488	207	216
489	207	215
490	207	215
491	207	214
492	208	214
493	208	213
494	208	212
495	209	212
496	209	211
497	209	211
498	210	211
499	210	210
500	211	210
501	211	209
502	211	209
503	212	208
504	212	208
505	212	207
506	213	207
507	213	206
508	213	206
509	214	205
510	214	205
511	214	204
512	214	203
513	215	203
514	215	202
515	215	202
516	216	201
517	216	201
518	216	200
519	216	200
520	217	199
521	217	199
522	217	198
523	218	198
524	218	197
525	218	197
526	219	196
527	219	196
528	219	195
529	220	195
530	220	195
531	221	194
532	221	194
533	221	193
534	222	193
535	222	192
536	222	192
537	223	191
538	223	191
539	223	190
540	224	190
541	224	189
542	225	189
543	225	188
544	225	188
545	226	187
546	226	187
547	226	186
548	227	186
549	227	186
550	228	186
551	228	185
552	228	185
553	229	184
554	229	184
555	229	183
556	230	182
557	230	182
558	230	181
559	230	181
560	231	180
561	231	180
562	231	179
563	232	179
564	232	178
565	232	178
566	232	177
567	233	177
568	233	176
569	233	176
570	234	175
571	234	175
572	234	174
573	235	174
574	235	174
575	235	173
576	236	173
577	236	172
578	236	172
579	237	171
580	237	171
581	237	170
582	238	170
583	238	169
584	238	169
585	239	169
586	239	168
587	240	168
588	240	167
589	240	167
590	241	166
591	241	166
592	241	166
593	242	165
594	242	165
595	242	164
596	243	164
597	243	163
598	244	163
599	244	162
600	244	162
601	244	161
602	245	161
603	245	161
604	246	160
605	246	160
606	246	159
607	246	159
608	247	158
609	247	158
610	247	157
611	247	157
612	248	156
613	248	156
614	249	156
615	249	155
616	249	155
617	250	154
618	250	154
619	250	153
620	251	153
621	251	152
622	251	152
623	252	151
624	252	151
625	252	151
626	253	150
627	253	150
628	253	149
629	253	149
630	254	148
631	254	148
632	254	147
633	255	147
634	255	146
635	256	146
636	256	146
637	256	145
638	256	145
639	257	144
640	257	144
641	257	143
642	258	143
643	258	143
644	259	142
645	259	142
646	259	141
647	260	141
648	260	140
649	260	140
650	261	140
651	261	139
652	261	139
653	262	138
654	262	138
655	262	137
656	262	137
657	263	136
658	263	136
659	264	136
660	264	135
661	264	135
662	265	134
663	265	134
664	265	133
665	266	133
666	266	133
667	266	132
668	267	132
669	267	131
670	268	131
671	268	130
672	268	130
673	269	130
674	269	129
675	270	129
676	270	129
677	270	128
678	271	128
679	271	127
680	271	127
681	272	126
682	272	126
683	272	126
684	273	125
685	273	125
686	273	124
687	274	124
688	274	123
689	274	123
690	275	122
691	275	122
692	275	122
693	275	121
694	276	121
695	276	120
696	276	120
697	277	119
698	277	119
699	277	119
700	278	118
701	278	118
702	278	117
703	278	117
704	279	116
705	279	116
706	279	116
707	281	115
708	281	115
709	282	115
710	282	114
711	283	114
712	283	114
713	284	113
714	284	113
715	284	113
716	285	112
717	285	112
718	286	111
719	286	111
720	286	110
721	287	110
722	288	110
723	289	110
724	289	109
725	289	109
726	290	108
727	290	108
728	290	108
729	290	107
730	291	107
731	291	106
732	291	106
733	292	105
734	292	105
735	293	105
